Surface tension in mN * m-1

Salt,Composition range,Data type,T min (K),T max (K),Uncertainty,Data 1,Data 2,Data 3,Data 4,Data 5,Comment,Formatting comment
KCl-RbBr,100-0,P1,1070,1260,,172.4,-0.071,,,,"For 100% KCl, the results agree closely (within 1%) with the recommended data set, i.e.: 1180 K, -0.8%, 1260 K, -0.5%.",
KCl-SrCl2,0-100,P1,1157,1307,,230.7,-0.0541,,,,"For 100% SrCl2, the results have been advanced as the recommended data set.",
KCl-SrCl2,20-80,P1,1030,1300,,210.9,-0.0664,,,,,
KCl-SrCl2,40-60,P1,1010,1300,,206.12,-0.0711,,,,,
KCl-SrCl2,60-40,P1,1010,1300,,186.87,-0.0661,,,,,
KCl-SrCl2,80-20,P1,1010,1310,,194.25,-0.0788,,,,,
KCl-SrCl2,100-0,P1,1080,1290,,187.57,-0.0837,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, +0.8%,1290 K, -1.8%.",
KCl-UCl3,0-100,P1,1123,1323,,311.5,-0.165,,,,"For 100% UCl3, the results have been advanced as the recommended data set.",
KCl-UCl3,10-90,P1,1113,1343,,280.33,-0.145,,,,,
KCl-UCl3,20-80,P1,1024,1363,,257.99,-0.13122,,,,,
KCl-UCl3,30-70,P1,974,1323,,236.07,-0.122,,,,,
KCl-UCl3,40-60,P1,979,1340,,238.45,-0.118,,,,,
KCl-UCl3,50-50,P1,978,1348,,234.39,-0.115,,,,,
KCl-UCl3,60-40,P1,984,1338,,223.1,-0.107,,,,,
KCl-UCl3,70-30,P1,992,1330,,211.14,-0.1,,,,,
KCl-UCl3,80-20,P1,1000,1323,,197.57,-0.09,,,,,
KCl-UCl3,90-10,P1,1015,1336,,191.77,-0.086,,,,,
KCl-UCl3,100-0,P1,1053,1323,,187.,-0.082,,,,"For 100% KCl, the departures from the recommended data set are: 1089 K 1.9%, 1154K 1.4%",
KCl-UCl4,0-100,P1,880,960,,204.95,-0.185,,,,"For 100% UCl4, the results have been advanced as the recommended data set.",
KCl-UCl4,39.33-60.67,P1,890,980,,102.83,-0.0621,,,,,
KCl-UCl4,56.04-43.96,P1,880,990,,93.04,-0.04808,,,,,
KCl-UCl4,64.31-35.69,P1,930,1010,,59.73,-0.00865,,,,,
KCl-UCl4,73.68-26.32,P1,870,1050,,77.59,-0.01349,,,,,
KCl-UCl4,96.00-4.00,P1,1020,1150,,136.65,-0.06732,,,,,
KCl-UCl4,97.33-2.67,P1,1050,1090,,164.82,-0.08871,,,,,
KCl-UCl4,100-0,P1,1080,1170,,182.51,-0.0782,,,,"For 100% KCl, the departures from the recommended data set are: 1080 K, +2.1%,1170 K, +1.2%.",
KCl-YCl3,0-100,P1,1048,1248,,138.6,-0.0519,,,,"For 100% YCl3, the results have been advanced as the recommended data set.",
KCl-YCl3,12.5-87.5,P1,1048,1248,,142.3,-0.0557,,,,,
KCl-YCl3,25-75,P1,1123,1248,,142.5,-0.0561,,,,,
KCl-YCl3,42-58,P1,1123,1248,,145.5,-0.0581,,,,,
KCl-YCl3,60-40,P1,1123,1248,,153.2,-0.0621,,,,,
KCl-YCl3,75-25,P1,1123,1248,,164.1,-0.0678,,,,,
KCl-YCl3,87.5-12.5,P1,1123,1248,,172.2,-0.0725,,,,,
KCl-YCl3,100-0,P1,1073,1248,,178.8,-0.0758,,,,"For 100% KCl, the departures from the recommended data set are: 1090 K +0.6%, 1200 K +0.1%. New System.",
KCl-ZnCl2,0.0-100.0,P1,611,991,,75.361,-0.027204,,,,"For 100% ZnCl2, the departures from the recommended data set are: 620 K, +9.0%, 970 K, -2.9%.",
KCl-ZnCl2,3.1-96.9,P1,584,951,,64.682,-0.012396,,,,,
KCl-ZnCl2,6.7-93.3,P1,625,974,,65.794,-0.013939,,,,,
KCl-ZnCl2,13.4-86.6,P1,568,974,,63.393,-0.00808,,,,,
KCl-ZnCl2,19.7-80.3,P1,592,1011,,76.792,-0.02142,,,,,
KCl-ZnCl2,39.1-60.9,P1,553,1037,,104.545,-0.040953,,,,,
KCl-ZnCl2,59.9-40.1,P1,623,1057,,140.055,-0.062009,,,,,
KClO3,100,P1,641,651,2%,337.3,-0.4,,,,,
KC2H3O2-NaNO3,100-0,DP,,,,42.0,588K,,,,,
KC2H3O2-NaNO3,50-50,DP,,,,51.5,588K,,,,,
KC2H3O2-NaNO3,25-75,DP,,,,62.7,588K,,,,,
KC2H3O2-NaNO3,10-90,DP,,,,83.6,588K,,,,,
KC2H3O2-NaNO3,1-99,DP,,,,110.2,588K,,,,,
KC3H5O2-NaNO3,100-0,DP,,,,25.6,588K,,,,,
KC3H5O2-NaNO3,50-50,DP,,,,35.7,588K,,,,,
KC3H5O2-NaNO3,25-75,DP,,,,41.7,588K,,,,,
KC3H5O2-NaNO3,10-90,DP,,,,54.8,588K,,,,,
KC3H5O2-NaNO3,1-99,DP,,,,97.9,588K,,,,,
KF,100,P1,1185,1583,,240.011,-0.084782,,,,"For 100% KF, an accuracy estimate was not possible due to insufficient information.",
KF-K2ZrF6,100-0 K2ZrF6,I3,1233,,,136.3,-0.2136,-0.00842,6.447E-5,,"For 100% K2ZrF6 at 1233 K, the results have been advanced as the recommended data set. For 100% KF at 1233 K, the departure from the recommended data set is +0.9%.",
KF-LiF,0-100,P1,1073,1173,,371.33,-0.107,,,,"For 100% LiF, the departures from the recommended data set are: 1070 K, +6.6%,1170 K, +6.6%.",
KF-LiF,10-90,P1,1073,1173,,364.41,-0.126,,,,,
KF-LiF,20-80,P1,1073,1173,,335.25,-0.121,,,,,
KF-LiF,30-70,P1,1073,1173,,300.73,-0.107,,,,,
KF-LiF,40-60,P1,1073,1173,,270.9,-0.09301,,,,,
KF-LiF,50-50,P1,1073,1173,,253.29,-0.08601,,,,,
KF-LiF,60-40,P1,1073,1173,,250.6,-0.08901,,,,,
KF-LiF,70-30,P1,1073,1173,,256.59,-0.09701,,,,,
KF-LiF,80-20,P1,1073,1173,,262.13,-0.103,,,,,
KF-LiF,90-10,P1,1073,1173,,251.47,-0.09401,,,,,
KF-LiF,100-0,P1,1073,1173,,203.98,-0.05301,,,,"For 100% KF, the departures from the recommended data set are: 1070 K, +1.4%, 1170 K, -0.7%.",
KF-LiF-NaF,42.0-46.5-11.5,P1,770,1040,2%,272.6,-0.1014,,,,"KF-LiF-NaF, recommended data, new system.",
KF-NaF,60-40,P1,903.4,1151.3,,242.48,-0.07884,,,,,
KF-Na2B4O7,100-40 Na2B4O7,I2,1223,,,146.2,-1.193,0.02033,,,"For 100% Na2B4O7 at 1223 K, the departure from the recommended data set is -0.6%.",
KF-Na3AlF6,0-100,P1,1273,1373,,311.27,-0.138,,,,"For 100% Na3AlF6, the departures from the recommended data are: 1280 K, -0.02%, 1350 K, +0.09%",
KF-Na3AlF6,3.4-96.6,P1,1291,1367,,308.595,-0.1363238,,,,,
KF-Na3AlF6,10.1-89.8,P1,1280,1356,,305.175,-0.134498,,,,,
KF-Na3AlF6,16.1-83.9,P1,1280,1360,,301.07,-0.132027,,,,,
KF-Na3AlF6,23.9-76.1,P1,1252,1346,,301.276,-0.132918,,,,,
KF-Na3AlF6,35.1-64.9,P1,1237,1354,,298.361,-0.131498,,,,,
KF-Na3AlF6,45.8-54.2,P1,1217,1358,,295.35,-0.130338,,,,,
KF-Na3AlF6,54.7-45.3,P1,1201,1327,,294.793,-0.130613,,,,,
KF-ZrF4,0.0-33.3 ZrF4,I4,1233.3,,,135.6,-1.077,0.1857,0.01183,1.84E-4,"For 100% KF at 1233 K, the departure from the recommended data set is +0.4%.",Function produces unexpectedly large value(s).
KI,100,P1,969,1186,1.5%,136.1,-0.06003,,,,,
KI-Na2SO4,100-50 Na2SO4,I3,1173,,,72.69,1.3093,-0.02873,2.775E-4,,"For 100% Na2SO4 at 1173 K, the departure from the recommended data set is -0.4%.",
KNO2,100,P1,718,774,1.5%,164.24,-0.08,,,,,
KNO2-KNO3,0-100,P1,615,740,,148.5,-0.064,,,,"For 100% KNO3, the departures from the recommended data set are: 695 K, -1.0%,770 K, -0.4%.",
KNO2-KNO3,20-80,P1,680,860,,145.7,-0.059,,,,,
KNO2-KNO3,22.5-77.5,P1,680,860,,144.3,-0.057,,,,,
KNO2-KNO3,40-60,P1,635,860,,148.,-0.061,,,,,
KNO2-KNO3,60-40,P1,605,860,,145.6,-0.055,,,,,
KNO2-KNO3,80-20,P1,605,860,,146.,-0.052,,,,,
KNO3,100,P1,620,760,0.5%,154.715,-0.071708,,,,,
KNO3-LiNO3,0-100,P1,575,670,,144.9,-0.055,,,,"For 100% LiNO3, the results have been advanced as the recommended data set.",
KNO3-LiNO3,25-75,P1,505,670,,143.2,-0.056,,,,,
KNO3-LiNO3,50-50,P1,445,670,,146.5,-0.062,,,,,
KNO3-LiNO3,58-42,P1,445,670,,148.7,-0.065,,,,,
KNO3-LiNO3,75-25,P1,460,670,,152.7,-0.07,,,,,
KNO3-LiNO3,100-0,P1,625,670,,161.9,-0.081,,,,"For 100% KNO3, the departures from the recommended data set are: 625 K, +1.2%,670 K, +1.1%.",
KNO3-NaNO3,0-100,P1,590,673,,153.99,-0.06,,,,"For 100% NaNO3, the departures from the recommended data set are: 620 K, -0.6%, 670 K, -0.7%.",
KNO3-NaNO3,10-90,P1,590,670,,156.6,-0.06567,,,,,
KNO3-NaNO3,20-80,P1,560,670,,157.3,-0.06807,,,,,
KNO3-NaNO3,30-70,P1,540,670,,158.5,-0.07106,,,,,
KNO3-NaNO3,40-60,P1,510,670,,158.9,-0.07275,,,,,
KNO3-NaNO3,50-50,P1,500,670,,159.6,-0.07476,,,,,
KNO3-NaNO3,50-50,P1,530,870,1%,153.538,-0.06782,,,,"For 50-50 Mol%: recommended data set (shift from previous evaluation; T range extended). In the temperature of overlap, the departures of the previous results are: 530 K,+2.1%; 670 K,+1.3%",
KNO3-NaNO3,54-46,P1,500,670,,159.9,-0.0756,,,,,
KNO3-NaNO3,60-40,P1,510,670,,160.6,-0.07709,,,,,
KNO3-NaNO3,70-30,P1,530,670,,161.5,-0.07926,,,,,
KNO3-NaNO3,80-20,P1,550,670,,162.7,-0.08176,,,,,
KNO3-NaNO3,90-10,P1,570,670,,163.8,-0.08401,,,,,
KNO3-NaNO3,100-0,P1,590,670,,164.6,-0.0855,,,,"For 100% KNO3, the departures from the recommended data set are: 600 K, +1.4%,670 K, +0.6%.",
KNO3-RbNO3,0-100,P1,585,660,,157.,-0.083,,,,"For 100% RbNO3, the results have been advanced as the recommended data set.",
KNO3-RbNO3,25-75,P1,585,660,,157.4,-0.082,,,,,
KNO3-RbNO3,50-50,P1,570,660,,159.6,-0.083,,,,,
KNO3-RbNO3,70-30,P1,570,660,,162.1,-0.084,,,,,
KNO3-RbNO3,75-25,P1,570,660,,161.2,-0.083,,,,,
KPO3,100,P1,1132,1773,2%,208.4,-0.0556,,,,,
KPO3-LiPO3,0-100,P1,1030,1410,,218.282,-0.0241,,,,"For 100% LiPO3, the departures from the recommended data set are: 1030 K, +2.2%, 1410 K, +1.9%.",
KPO3-LiPO3,10.12-89.88,P1,1030,1410,,227.071,-0.0398,,,,,
KPO3-LiPO3,20.02-79.98,P1,1030,1410,,228.583,-0.0468,,,,,
KPO3-LiPO3,29.98-70.02,P1,1030,1410,,226.812,-0.0502,,,,,
KPO3-LiPO3,40.05-59.95,P1,1030,1410,,225.467,-0.0526,,,,,
KPO3-LiPO3,49.90-50.10,P1,1030,1410,,223.55,-0.054,,,,,
KPO3-LiPO3,59.98-40.02,P1,1030,1410,,219.331,-0.0532,,,,,
KPO3-LiPO3,68.91-31.09,P1,1030,1410,,219.878,-0.0563,,,,,
KPO3-LiPO3,80.19-19.81,P1,1030,1410,,220.115,-0.059,,,,,
KPO3-LiPO3,89.87-10.13,P1,1030,1410,,220.307,-0.0608,,,,,
KPO3-LiPO3,100-0,P1,1030,1410,,221.672,-0.0636,,,,"For 100% KPO3, the departures from the recommended data set are: 1030 K, +3.2%, 1410 K, +1.5%.",
KPO3-NaPO3,0-100,P1,1078.2,1420,,237.02,-0.0488,,,,"For 100% NaPO3, the departures from the recommended data set are: 1080 K, -0.8%, 1420 K, -5.2%.",
KPO3-NaPO3,10.06-89.94,P1,980,1420,,231.53,-0.0492,,,,,
KPO3-NaPO3,19.97-80.03,P1,980,1420,,226.53,-0.0492,,,,,
KPO3-NaPO3,29.89-70.11,P1,980,1420,,223.1,-0.0498,,,,,
KPO3-NaPO3,39.82-60.18,P1,980,1420,,222.99,-0.0527,,,,,
KPO3-NaPO3,50.05-49.95,P1,980,1420,,222.85,-0.0555,,,,,
KPO3-NaPO3,60.03-39.97,P1,980,1420,,217.53,-0.0532,,,,,
KPO3-NaPO3,70.09-29.91,P1,1078.2,1420,,216.,-0.0542,,,,,
KPO3-NaPO3,78.82-21.18,P1,1078.2,1420,,218.17,-0.0577,,,,,
KPO3-NaPO3,90.06-9.94,P1,1078.2,1420,,217.85,-0.0595,,,,,
KPO3-NaPO3,100-0,P1,1078.2,1420,,221.67,-0.0636,,,,"For 100% KPO3, the departures from the recommended data set are: 1080 K, +3.1%, 1410 K, +1.5%.",
KPO3-Zn(PO3)2,0-100,P1,1244,1476,,196.58,0.00195,,,,"For 100% Zn(PO3)2, the results have been advanced as the recommended data set.",
KPO3-Zn(PO3)2,8.3-91.7,P1,1233.2,1360.2,,175.6,-0.004,,,,,
KPO3-Zn(PO3)2,18.1-81.9,P1,1206.2,1344.2,,171.14,-0.0042,,,,,
KPO3-Zn(PO3)2,30.1-69.9,P1,1140,1320,,195.3,-0.00367,,,,,
KPO3-Zn(PO3)2,44.1-55.9,P1,1100,1340,,186.24,-0.0313,,,,,
KPO3-Zn(PO3)2,61.2-38.8,P1,1080,1340,,190.36,-0.0416,,,,,
KPO3-Zn(PO3)2,70.05-29.5,P1,1080,1340,,197.79,-0.0472,,,,,
KPO3-Zn(PO3)2,78.1-21.9,P1,1140,1320,,189.16,-0.0405,,,,,
KPO3-Zn(PO3)2,85.2-14.8,P1,1169.2,1334.2,,191.9,-0.0425,,,,,
KPO3-Zn(PO3)2,94.5-5.5,P1,1146.2,1335.2,,206.01,-0.0535,,,,,
KPO3-Zn(PO3)2,100-0,P1,1152,1347,,208.38,-0.0556,,,,"For 100% KPO3, the results have been advanced as the recommended data set.",
KPO3-ZnO,72.3-27.7,P1,1200,1380,,231.6,-0.0419,,,,,
KPO3-ZnO,77.9-22.1,P1,1050,1320,,218.2,-0.0405,,,,,
KPO3-ZnO,89.6-10.4,P1,1080,1350,,204.2,-0.0471,,,,,
KSCN,100,P1,464,514,1.5%,133.97,-0.0581,,,,,
KSCN-NaSCN,0-100,P1,583,597,,134.9312,-0.05266,,,,"For 100% NaSCN, the results have been advanced as the recommended data set.",
KSCN-NaSCN,31.7-68.3,P1,465,536,,124.14,-0.04433,,,,,
KSCN-NaSCN,52.8-47.2,P1,506,566,,135.47,-0.06305,,,,,
KSCN-NaSCN,58.5-41.5,P1,534,588,,134.33,-0.06039,,,,,
KSCN-NaSCN,69.0-31.0,P1,537,581,,131.53,-0.05513,,,,,
KSCN-NaSCN,100-0,P1,464,514,,133.97,-0.0581,,,,"For 100% KSCN, the results have been advanced as the recommended data set.",
KSCN-RbSCN,0-100 KSCN,I3,523.2,,1%,107.1,-0.127,-4.88E-5,9.67E-6,,The values for 100% NaSCN and 100% KSCN have been advanced as the recommended data sets.,
KVO3,100,P1,823,1273,,179.4,-0.0333,,,,,
KVO3-V2O5,0-100,P1,953,1273,,100.5,-0.0118,,,,"For 100% V2O5, the results have been advanced as the recommended data set.",
KVO3-V2O5,19.0-81.0,P1,950,1275,,104.5,-0.0137,,,,,
KVO3-V2O5,36.0-64.0,P1,950,1150,,111.4,-0.0174,,,,,
KVO3-V2O5,51.7-48.3,P1,843,1253,,120.3,-0.021,,,,,
KVO3-V2O5,65.8-34.2,P1,850,1275,,127.4,-0.0243,,,,,
KVO3-V2O5,80.6-19.4,P1,738,1263,,142.3,-0.0281,,,,,
KVO3-V2O5,89.0-11.0,P1,750,1250,,154.2,-0.03,,,,,
KVO3-V2O5,100-0,P1,823,1273,,179.4,-0.0333,,,,"For 100% KVO3, the results have been advanced as the recommended data set.",
K2CO3,100,P1,1178,1283,0.5%,243.714,-0.063681,,,,,
K2CO3-Li2CO3,0-100,P1,1023,1173,,281.5,-0.0366,,,,"For 100% Li2CO3, the departures from the recommended data set are: 1030 K, +0.4%, 1170 K, +0.7%.",
K2CO3-Li2CO3,10-90,P1,965,1172,,253.42,-0.0334,,,,,
K2CO3-Li2CO3,30-70,P1,842,1173,,231.18,-0.0292,,,,,
K2CO3-Li2CO3,42.7-57.3,P1,1004,1155,,324.09,-0.1248,,,,,
K2CO3-Li2CO3,50-50,P1,800,1172,,229.59,-0.0395,,,,,
K2CO3-Li2CO3,70-30,P1,931,1173,,241.94,-0.058,,,,,
K2CO3-Li2CO3,90-10,P1,1114,1173,,262.93,-0.0769,,,,,
K2CO3-Li2CO3,100-0,P1,1173,1308,,241.07,-0.0614,,,,"For 100% K2CO3, the departures from the recommended data set are: 1180 K, 0.0%, 1300 K, +0.2%.",
K2CO3-Li2CO3-Na2CO3,25.0-43.5-31.5,P1,740,1050,,287.07,-0.06944,,,,,
K2CO3-Na2CO3,0-100,P1,1143.9,1279.5,,268.5,-0.0502,,,,"For 100% Na2CO3, the results have been advanced as the recommended data set.",
K2CO3-Na2CO3,25-75,P1,1060,1200,,259.582,-0.058333,,,,,
K2CO3-Na2CO3,42-58,P1,1000,1140,,288.14,-0.076207,,,,,
K2CO3-Na2CO3,50-50,P1,1000,1160,,253.18,-0.062007,,,,,
K2CO3-Na2CO3,75-25,P1,1083,1237,,256.2,-0.070807,,,,,
K2CO3-Na2CO3,100-0,P1,1177.9,1278.5,,243.714,-0.063681,,,,"For 100% K2CO3, the results have been advanced as the recommended data set.",
K2CrO4,100,P1,1230,1340,,196.8,-0.0494,,,,Accuracy set at 1-2% (comparison with recommended values).,
K2CrO4-LiCl,0-100 LiCl,I3,1173,,,138.5,3.9E-3,-0.013,1.03E-4,,The agreement of the Polynomial with measurements is within 1.5%.,
K2CrO4-Li2CrO4,0-100 K2CrO4,I3,1173,,,199.05,-1.732,0.019,-8.5E-5,,The agreement of the Polynomial with measurements is within 3%.,
K2Cr2O7,100,P1,673,713,2%,310.,-0.27,,,,,
K2MoO4,100,P1,1203,1806,3%,229.478,-0.064777,,,,,
K2MoO4-Li2MoO4,0-100,P1,1013,1281,,367.49,-0.1282,,,,"For 100% Li2MoO4, the results have been advanced as the recommended data set.",
K2MoO4-Li2MoO4,19.9-80.1,P1,940,1160,,256.28,-0.07283,,,,,
K2MoO4-Li2MoO4,33-67,P1,820,1040,,241.46,-0.06896,,,,,
K2MoO4-Li2MoO4,50-50,P1,860,1060,,236.63,-0.06639,,,,,
K2MoO4-Li2MoO4,60-40,P1,840,1060,,226.07,-0.05909,,,,,
K2MoO4-Li2MoO4,79.9-20.1,P1,1080,1180,,239.22,-0.07732,,,,,
K2MoO4-Li2MoO4,100-0,P1,1207,1281,,279.15,-0.102,,,,"For 100% K2MoO4, the departures from the recommended data set are: 1210 K, +3.1%, 1280 K, +1.4%.",
K2MoO4-MoO3,25-75,P1,1130,1340,,173.42,-0.06663,,,,,
K2MoO4-MoO3,42-58,P1,1100,1370,,183.77,-0.06983,,,,,
K2MoO4-MoO3,50-50,P1,1040,1340,,183.9,-0.06884,,,,,
K2MoO4-MoO3,61-39,P1,1190,1370,,192.97,-0.0689,,,,,
K2MoO4-MoO3,81-19,P1,1190,1370,,189.74,-0.05654,,,,,
K2MoO4-MoO3,100-0,P1,1240,1360,,217.38,-0.06425,,,,"For 100% K2MoO4, the departures from the recommended data set are: 1240 K, -7.7%, 1360 K, -8.0%.",
K2O-Zn(PO3)2,7.3-92.7,P1,1240,1360,,181.9,-0.0045,,,,,
K2O-Zn(PO3)2,25.6-74.4,P1,1180,1360,,223.7,-0.042,,,,,
K2O-Zn(PO3)2,38.1-61.9,P1,1120,1360,,230.8,-0.0453,,,,,
K2O-Zn(PO3)2,48-52,P1,1240,1360,,239.,-0.0443,,,,,
K2SO4,100,P1,1372,1394,1.5%,245.2,-0.0765,,,,,
K2SO4-NaBr,0-100,P1,1233,1343,,186.89,-0.08091,,,,The results for 100% NaBr have been advanced as the recommended data set.,
K2SO4-NaBr,20-80,P1,1080,1200,,170.73,-0.06558,,,,,
K2SO4-NaBr,35-65,P1,1010,1220,,165.763,-0.058329,,,,,
K2SO4-NaBr,50-50,P1,1100,1220,,171.95,-0.05502,,,,,
K2SO4-NaBr,60-40,P1,1190,1280,,190.434,-0.067061,,,,,
K2SO4-NaBr,70-30,P1,1250,1280,,169.06,-0.04327,,,,,
K2SO4-NaBr,80-20,P1,1280,1340,,158.481,-0.031468,,,,,
K2SO4-NaBr,85-15,P1,1233,1343,,237.61,-0.08494,,,,,
K2SO4-NaBr,95-5,P1,1233,1343,,215.28,-0.06353,,,,,
K2SO4-NaBr,100-0,P1,1350,1373,,251.07,-0.08502,,,,"For 100% K2SO4, the departures from the recommended data set are: 1370 K, -3.9%, 1460 K, -4.9%.",
K2SO4-Na2SO4,0-100,P1,1170,1460,,269.,-0.066,,,,"For 100% Na2SO4, the results have been advanced as the recommended data set.",
K2SO4-Na2SO4,25-75,P1,1100,1460,,237.3,-0.066,,,,,
K2SO4-Na2SO4,50-50,P1,1200,1460,,247.1,-0.069,,,,,
K2SO4-Na2SO4,75-25,P1,1240,1460,,248.8,-0.063,,,,,
K2SO4-Na2SO4,100-0,P1,1360,1460,,229.8,-0.065,,,,"For 100% K2SO4, the departures from the recommended data set are: 1370 K, +0.2%, 1460 K, +1.0%.",
K2SO4-RbCl,100-90 K2SO4,I1,1348,,,59.3,0.837,,,,"For 100% K2SO4 at 1348 K, the departure from the recommended data set is +0.6%.",
K2SO4-Rb2SO4,0-100,P1,1170,1470,,207.89,-0.06,,,,"For 100% Rb2SO4, the departures from the recommended data set are: 1170 K, -1.0%, 1460 K, -3.4%.",
K2SO4-Rb2SO4,25-75,P1,1190,1470,,226.63,-0.066,,,,,
K2SO4-Rb2SO4,50-50,P1,1230,1470,,223.8,-0.067,,,,,
K2SO4-Rb2SO4,100-0,P1,1350,1470,,229.76,-0.065,,,,"For 100% K2SO4, the departures from the recommended data set are: 1370 K, +0.2%, 1460 K, +1.0%.",
K2WO4,100,P1,1210,1793,3%,266.477,-0.090514,,,,,
K2WO4-Li2WO4,0-100,P1,1030,1236,,322.59,-0.084855,,,,"For 100% Li2WO4, the results have been advanced as the recommended data set.",
K2WO4-Li2WO4,10-90,P1,985,1186,,289.918,-0.07536,,,,,
K2WO4-Li2WO4,19.9-80.1,P1,920,1137,,296.88,-0.09405,,,,,
K2WO4-Li2WO4,30-70,P1,867,1024,,301.364,-0.10869,,,,,
K2WO4-Li2WO4,40-60,P1,947,1109,,287.69,-0.09814,,,,,
K2WO4-Li2WO4,50-50,P1,963,1077,,290.66,-0.1057,,,,,
K2WO4-Li2WO4,54.4-45.6,P1,943,1085,,279.705,-0.09633,,,,,
K2WO4-Li2WO4,60-40,P1,929,1103,,266.42,-0.09091,,,,,
K2WO4-Li2WO4,80-20,P1,1040,1183,,263.87,-0.08964,,,,,
K2WO4-Li2WO4,100-0,P1,1215,1288,,295.12,-0.11142,,,,"For 100% K2WO4, the departures from the recommended data set are: 1215 K, +2.1%, 1280 K, +1.2%.",
K2WO4-WO3,45-55,P1,1010,1220,,231.12,-0.08932,,,,,
K2WO4-WO3,55-45,P1,1070,1250,,241.79,-0.09531,,,,,
K2WO4-WO3,65-35,P1,1140,1220,,234.71,-0.08803,,,,,
K2WO4-WO3,80-20,P1,1130,1280,,230.43,-0.07971,,,,,
K2WO4-WO3,100-0,P1,1250,1280,,213.54,-0.05945,,,,"For 100% K2WO4, the departures from the recommended data set are: 1250 K, -8.7%, 1280 K, -9.2%.",
K2ZrF6,100,P1,1073,1223,,192.46,-0.08051,,,,,
K2ZrF6-NaCl,0-100,P1,1123,1223,,191.5,-0.072,,,,"For 100% NaCl, the departures from the recommended data set are: 1120 K, -0.2%, 1220 K, -0.2%.",
K2ZrF6-NaCl,10-90,P1,1123,1223,,206.06,-0.085,,,,,
K2ZrF6-NaCl,20-80,P1,1123,1223,,204.16,-0.08401,,,,,
K2ZrF6-NaCl,30-70,P1,1123,1223,,206.37,-0.087,,,,,
K2ZrF6-NaCl,40-60,P1,1123,1223,,203.26,-0.085,,,,,
K2ZrF6-NaCl,50-50,P1,1123,1223,,202.56,-0.08501,,,,,
K2ZrF6-NaCl,60-40,P1,1123,1223,,202.26,-0.086,,,,,
K2ZrF6-NaCl,70-30,P1,1123,1223,,204.75,-0.089,,,,,
K2ZrF6-NaCl,80-20,P1,1123,1223,,200.67,-0.08601,,,,,
K2ZrF6-NaCl,90-10,P1,1123,1223,,200.9,-0.087,,,,,
K2ZrF6-NaCl,100-0,P1,1073,1233,,192.46,-0.08051,,,,"For 100% K2ZrF6, the results have been advanced as the recommended data set.",
K2ZrF6-Na2B4O7,0-100,P1,1020,1225,,293.895,-0.050966,,,,"For 100% Na2B4O7, the results have been advanced as the recommended data set.",
K2ZrF6-Na2B4O7,1.4-98.6,P1,1020,1200,,287.735,-0.051335,,,,,
K2ZrF6-Na2B4O7,2.9-97.1,P1,1020,1200,,277.07,-0.047148,,,,,
K2ZrF6-Na2B4O7,4.3-95.7,P1,1020,1200,,284.48,-0.055201,,,,,
K2ZrF6-Na2B4O7,5.8-94.2,P1,1020,1200,,283.145,-0.056388,,,,,
K2ZrF6-Na2B4O7,7.2-92.8,P1,1020,1200,,278.025,-0.053051,,,,,
K2ZrF6-Na2B4O7,8.8-91.2,P1,1020,1200,,282.58,-0.056564,,,,,
K3AlF6-Na3AlF6,0-100,P1,1273,1373,,311.27,-0.138,,,,"For 100% Na3AlF6, the departure from the recommended data set are: 1280 K, -0.02%, 1350 K, +0.09%.",
K3AlF6-Na3AlF6,20.1-79.9,P1,1277,1335,,259.93,-0.112067,,,,,
K3AlF6-Na3AlF6,40.2-59.8,P1,1276,1334,,228.396,-0.098976,,,,,
K3AlF6-Na3AlF6,60.1-39.9,P1,1275,1335,,234.143,-0.101041,,,,,
K3AlF6-Na3AlF6,80.0-20.0,P1,1276,1334,,228.396,-0.098976,,,,,
K3AlF6-Na3AlF6,100-0,P1,1281,1340,,237.551,-0.107387,,,,For 100% K3AlF6 the results have been advanced as the recommended data set.,
K3AlF6-Na3AlF6,100,P1,1281,1340,1.5%,237.551,-0.107387,,,,,
LaCl2-LaCl3,0-100,P1,1165,1280,,272.2,-0.132,,,,"For 100% LaCl3, the results have been advanced as the recommended data set.",
LaCl2-LaCl3,86-14,P1,1240,1330,,239.7,-0.09615,,,,,
LaCl3,100,P1,1165,1280,2%,272.2,-0.132,,,,,
LaCl3-NaCl,0-100,P1,1123,1248,,189.5,-0.0706,,,,"For 100% NaCl, the departures from the recommended data set are: 1100 K -0.2%, 1200 K -0.1%.",
LaCl3-NaCl,12.5-87.5,P1,1148,1248,,196.3,-0.076,,,,,
LaCl3-NaCl,25-75,P1,1123,1248,,199.5,-0.0786,,,,,
LaCl3-NaCl,40-60,P1,1148,1248,,200.5,-0.0788,,,,,
LaCl3-NaCl,55-45,P1,1148,1248,,215.2,-0.0904,,,,,
LaCl3-NaCl,70-30,P1,1148,1248,,229.5,-0.1016,,,,,
LaCl3-NaCl,85-15,P1,1123,1248,,259.8,-0.1251,,,,,
LaCl3-NaCl,100-0,P1,1148,1248,,253.9,-0.1168,,,,"For 100% LaCl3, the departures from the recommended data set are: 1150 K -0.7%, 1250 K 0.6%.",
LiBO2,100,P1,1153,1793,3%,388.823,-0.10433,,,,,
LiBr,100,P1,834,1160,1.5%,150.56,-0.04988,,,,,
